title,info,rating,url
Шоу Трумана,"The Truman Show, 1998, 1 ч 43 мин",7.5,https://www.kinopoisk.ru/film/4541/
Атака Титанов: Последняя атака,"Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack, 2024, 2 ч 25 мин",7.5,https://www.kinopoisk.ru/film/6402838/
Пожары,"Incendies, 2010, 2 ч 11 мин",7.5,https://www.kinopoisk.ru/film/425400/
Паразиты,"Gisaengchung, 2019, 2 ч 11 мин",7.5,https://www.kinopoisk.ru/film/1043758/
Реквием по мечте,"Requiem for a Dream, 2000, 1 ч 42 мин",7.5,https://www.kinopoisk.ru/film/367/
Самый быстрый Indian,"The World's Fastest Indian, 2005, 2 ч 7 мин",7.5,https://www.kinopoisk.ru/film/81512/
Области тьмы,"Limitless, 2011, 1 ч 45 мин",7.5,https://www.kinopoisk.ru/film/462606/
Планета Ка-Пэкс,"K-PAX, 2001, 2 ч",7.5,https://www.kinopoisk.ru/film/723/
12 лет рабства,"12 Years a Slave, 2013, 2 ч 13 мин",7.5,https://www.kinopoisk.ru/film/606646/
Хористы,"Les Choristes, 2004, 1 ч 35 мин",7.5,https://www.kinopoisk.ru/film/51481/
Джентльмены удачи,"1971, 1 ч 24 мин",7.5,https://www.kinopoisk.ru/film/44386/
Лучшее предложение,"La migliore offerta, 2012, 2 ч 11 мин",7.5,https://www.kinopoisk.ru/film/681849/
Белая птица: Новое чудо,"White Bird, 2023, 2 ч 1 мин",7.5,https://www.kinopoisk.ru/film/4384109/
Догвилль,"Dogville, 2003, 2 ч 58 мин",7.5,https://www.kinopoisk.ru/film/7226/
Алеша Попович и Тугарин Змей,"2004, 1 ч 19 мин",7.5,https://www.kinopoisk.ru/film/81041/
Крик тишины,"2019, 1 ч 37 мин",7.5,https://www.kinopoisk.ru/film/1228407/
Лекарь: Ученик Авиценны,"The Physician, 2013, 2 ч 35 мин",7.5,https://www.kinopoisk.ru/film/645276/
Шрэк 2,"Shrek 2, 2004, 1 ч 33 мин",7.5,https://www.kinopoisk.ru/film/5273/
Они сражались за Родину,"1975, 2 ч 40 мин",7.5,https://www.kinopoisk.ru/film/42770/
12 стульев,"1971, 2 ч 33 мин",7.4,https://www.kinopoisk.ru/film/46789/
Гарри Поттер и Тайная комната,"Harry Potter and the Chamber of Secrets, 2002, 2 ч 41 мин",7.4,https://www.kinopoisk.ru/film/688/
Война,"2002, 2 ч",7.4,https://www.kinopoisk.ru/film/41431/
Кин-дза-дза!,"1986, 2 ч 15 мин",7.4,https://www.kinopoisk.ru/film/44811/
Игры разума,"A Beautiful Mind, 2001, 2 ч 15 мин",7.4,https://www.kinopoisk.ru/film/530/
Жизнь Дэвида Гейла,"The Life of David Gale, 2002, 2 ч 10 мин",7.4,https://www.kinopoisk.ru/film/738/
Гарри Поттер и Дары Смерти: Часть II,"Harry Potter and the Deathly Hallows - Part 2, 2011, 2 ч 10 мин",7.4,https://www.kinopoisk.ru/film/407636/
Адвокат дьявола,"The Devil's Advocate, 1997, 2 ч 24 мин",7.4,https://www.kinopoisk.ru/film/3797/
Отель Мумбаи: Противостояние,"Hotel Mumbai, 2018, 2 ч 3 мин",7.4,https://www.kinopoisk.ru/film/958519/
Троя,"Troy, 2004, 2 ч 43 мин",7.4,https://www.kinopoisk.ru/film/3442/
Дурак,"2014, 1 ч 56 мин",7.4,https://www.kinopoisk.ru/film/808639/
По соображениям совести,"Hacksaw Ridge, 2016, 2 ч 19 мин",7.4,https://www.kinopoisk.ru/film/649917/
Великолепная поездка,"Une belle course, 2022, 1 ч 31 мин",7.4,https://www.kinopoisk.ru/film/4542189/
Искупление,"Atonement, 2007, 2 ч",7.4,https://www.kinopoisk.ru/film/255611/
Поток,"Straume, 2024, 1 ч 25 мин",7.4,https://www.kinopoisk.ru/film/4502606/
Клаус,"Klaus, 2019, 1 ч 36 мин",7.4,https://www.kinopoisk.ru/film/957887/
Брестская крепость,"2010, 2 ч 11 мин",7.4,https://www.kinopoisk.ru/film/436263/
"Артур, ты король","Arthur the King, 2024, 1 ч 47 мин",7.4,https://www.kinopoisk.ru/film/1402937/
Вокзал для двоих,"1982, 2 ч 21 мин",7.4,https://www.kinopoisk.ru/film/45822/
Молчание ягнят,"The Silence of the Lambs, 1990, 1 ч 58 мин",7.4,https://www.kinopoisk.ru/film/345/
12 разгневанных мужчин,"12 Angry Men, 1956, 1 ч 36 мин",7.4,https://www.kinopoisk.ru/film/346/
Крестный отец 2,"The Godfather: Part II, 1974, 3 ч 22 мин",7.4,https://www.kinopoisk.ru/film/327/
Такси,"Taxi, 1998, 1 ч 29 мин",7.4,https://www.kinopoisk.ru/film/14349/
Афоня,"1975, 1 ч 32 мин",7.4,https://www.kinopoisk.ru/film/43423/
Безумный Макс: Дорога ярости,"Mad Max: Fury Road, 2015, 2 ч",7.4,https://www.kinopoisk.ru/film/453406/
Страсти Христовы,"The Passion of the Christ, 2004, 2 ч 7 мин",7.4,https://www.kinopoisk.ru/film/3707/
Невозможное,"Lo imposible, 2012, 1 ч 49 мин",7.4,https://www.kinopoisk.ru/film/518037/
Холодное лето пятьдесят третьего...,"1987, 1 ч 42 мин",7.4,https://www.kinopoisk.ru/film/7660/
Легенда №17,"2012, 2 ч 14 мин",7.4,https://www.kinopoisk.ru/film/601564/
Чужой,"Alien, 1979, 1 ч 56 мин",7.4,https://www.kinopoisk.ru/film/386/
Король говорит!,"The King's Speech, 2010, 1 ч 58 мин",7.4,https://www.kinopoisk.ru/film/485311/
Мимино,"1977, 1 ч 32 мин",7.4,https://www.kinopoisk.ru/film/46638/
Чудо,"Wonder, 2017, 1 ч 53 мин",7.4,https://www.kinopoisk.ru/film/722951/
Гарри Поттер и Кубок огня,"Harry Potter and the Goblet of Fire, 2005, 2 ч 37 мин",7.4,https://www.kinopoisk.ru/film/8408/
Далласский клуб покупателей,"Dallas Buyers Club, 2013, 1 ч 58 мин",7.4,https://www.kinopoisk.ru/film/260162/
Как прогулять школу с пользой,"L'école buissonnière, 2017, 1 ч 56 мин",7.4,https://www.kinopoisk.ru/film/1032308/
Приходи на меня посмотреть,"2000, 1 ч 41 мин",7.4,https://www.kinopoisk.ru/film/40955/
Ла-Ла Ленд,"La La Land, 2016, 2 ч 8 мин",7.4,https://www.kinopoisk.ru/film/841081/
Карнавальная ночь,"1956, 1 ч 18 мин",7.4,https://www.kinopoisk.ru/film/44720/
Жестокий романс,"1984, 2 ч 17 мин",7.4,https://www.kinopoisk.ru/film/45314/
Самая обаятельная и привлекательная,"1985, 1 ч 21 мин",7.4,https://www.kinopoisk.ru/film/43602/
Билли Эллиот,"Billy Elliot, 2000, 1 ч 50 мин",7.3,https://www.kinopoisk.ru/film/610/
Ворошиловский стрелок,"1999, 1 ч 35 мин",7.3,https://www.kinopoisk.ru/film/41442/
Люди в чёрном,"Men in Black, 1997, 1 ч 38 мин",7.3,https://www.kinopoisk.ru/film/1091/
Приключения Шерлока Холмса и доктора Ватсона: Король шантажа,"1980, 1 ч 3 мин",7.3,https://www.kinopoisk.ru/film/368936/
Аватар,"Avatar, 2009, 2 ч 42 мин",7.3,https://www.kinopoisk.ru/film/251733/
Подольские курсанты,"2020, 2 ч 16 мин",7.3,https://www.kinopoisk.ru/film/1191022/
Опасная игра Слоун,"Miss Sloane, 2016, 2 ч 12 мин",7.3,https://www.kinopoisk.ru/film/933307/
Век Адалин,"The Age of Adaline, 2015, 1 ч 53 мин",7.3,https://www.kinopoisk.ru/film/522876/
Амели,"Le Fabuleux destin d'Amélie Poulain, 2001, 2 ч 2 мин",7.3,https://www.kinopoisk.ru/film/341/
Пираты Карибского моря: Сундук мертвеца,"Pirates of the Caribbean: Dead Man's Chest, 2006, 2 ч 31 мин",7.3,https://www.kinopoisk.ru/film/63991/
Джокер,"Joker, 2019, 2 ч 2 мин",7.3,https://www.kinopoisk.ru/film/1048334/
Балканский рубеж,"2019, 2 ч 31 мин",7.3,https://www.kinopoisk.ru/film/1000443/
Белое солнце пустыни,"1969, 1 ч 24 мин",7.3,https://www.kinopoisk.ru/film/46066/
Шерлок Холмс и доктор Ватсон: Смертельная схватка,"1980, 1 ч 4 мин",7.3,https://www.kinopoisk.ru/film/354799/
